@relation staticFaceGestures

@attribute BrowLower real 
@attribute BrowRaiser real 
@attribute JawLower real 
@attribute LipCornerDepressor real 
@attribute LipRaiser real 
@attribute LipStretcher real 
@attribute gesture {Neutral, Yawn, Sad, Happy, ReiseEyeBrows} 

@data 
-260, -294, 286, 480, -439, 2731, Happy
-423, -462, 258, 602, -460, 2217, Happy
-292, -444, 416, 425, -693, 2095, Happy
-331, -1036, 456, 655, -1069, 2221, Happy
122, -1129, 485, 604, -1223, 1912, Happy
185, -904, 279, 1025, -1163, 1447, Happy
-10, -1415, 474, 1085, -1333, 1700, Happy
0, -1395, 535, 1127, -1455, 1959, Happy
0, -1395, 535, 1127, -1455, 1959, Happy
85, -1535, 725, 1351, -1857, 2770, Happy
-332, -1409, 1022, 1304, -2477, 3846, Happy
-332, -1409, 1022, 1304, -2477, 3846, Happy
-398, -1059, 1088, 1277, -2575, 3407, Happy
-355, -1169, 1146, 2036, -2591, 3338, Happy
-373, -1817, 1562, 2095, -2941, 2727, Happy
-390, -1390, 1275, 1866, -2939, 3094, Happy
-478, -1500, 1263, 2423, -3072, 3220, Happy
148, -1592, 1299, 2454, -3362, 2967, Happy
-28, -1852, 1326, 2472, -3187, 2809, Happy
214, -1269, 1712, 1918, -3569, 3595, Happy
-245, -1029, 1560, 1194, -3355, 3644, Happy
-923, -1251, 1499, 659, -2890, 4192, Happy
-669, -1335, 1688, 993, -2860, 4646, Happy
-669, -1335, 1688, 993, -2860, 4646, Happy
-669, -1335, 1688, 993, -2860, 4646, Happy
-144, -1051, 1782, 1050, -2754, 4496, Happy
-419, -1565, 1791, 1698, -2575, 4523, Happy
-623, -908, 1716, 1327, -2269, 5036, Happy
-730, -692, 1365, 1580, -1976, 5066, Happy
-703, -988, 1674, 2132, -2344, 4186, Happy
-548, -836, 1539, 2223, -2384, 3931, Happy
-548, -836, 1539, 2223, -2384, 3931, Happy
-695, -1734, 1541, 2933, -2976, 4173, Happy
-517, -1755, 1676, 3146, -3436, 4325, Happy
-342, -1340, 1576, 1934, -3475, 4355, Happy
-620, -1096, 1502, 1587, -3316, 4402, Happy
-757, -1127, 1467, 1804, -3567, 4057, Happy
-627, -1761, 1621, 2189, -3620, 3987, Happy
-543, -1542, 1719, 2236, -3970, 4289, Happy
-387, -1608, 1748, 2490, -4227, 4254, Happy
-80, -1529, 1707, 2706, -4284, 4375, Happy
107, -1195, 1774, 2087, -4435, 4600, Happy
35, -963, 1805, 2353, -4389, 4720, Happy
-1367, -173, 966, 500, 520, 3488, Happy
-1583, 420, 185, -767, 988, 3175, Happy
-1540, 39, 380, -52, 867, 3302, Happy
-1577, 530, 198, -120, 1142, 3438, Happy
-1410, -90, 371, 680, 781, 3322, Happy
-1495, 77, 432, 590, 894, 3364, Happy
-1495, 77, 432, 590, 894, 3364, Happy
-1771, -230, 262, 269, 572, 3473, Happy
-1771, -230, 262, 269, 572, 3473, Happy
-1771, -230, 262, 269, 572, 3473, Happy
-1771, -230, 262, 269, 572, 3473, Happy
-2023, -937, 455, 650, 547, 2574, Happy
-1500, -470, 719, 1400, 270, 2584, Happy
-1254, -82, 736, 1944, 84, 2423, Happy
-804, -364, 1107, 1830, -38, 2995, Happy
-1009, -110, 1113, 1746, 149, 2865, Happy
-1142, -1478, 1469, 2278, 76, 3217, Happy
-1767, -2109, 1275, 1692, -129, 3094, Happy
-1753, -1783, 1141, 1380, -91, 3263, Happy
-1340, -998, 1270, 1628, 18, 3609, Happy
-1340, -998, 1270, 1628, 18, 3609, Happy
-1397, -775, 1107, 1570, 35, 3285, Happy
-1642, -811, 1141, 1729, 128, 3422, Happy
-2040, -750, 963, 1328, 560, 3037, Happy
-2001, -417, 1093, 1180, 872, 2434, Happy
-2074, 192, 1024, 827, 1292, 2325, Happy
-1960, -63, 807, 901, 459, 2710, Happy
-2217, -492, 496, 818, 378, 3018, Happy
-2111, -351, 449, 688, 15, 3544, Happy
-1959, -324, 342, 854, 330, 2994, Happy
-2104, -783, 597, 947, 101, 3262, Happy
-2026, -1045, 757, 1655, -94, 3414, Happy
-1704, -624, 894, 1795, -72, 2490, Happy
-923, -1048, 1029, 1409, -1473, 1969, Happy
-1178, -754, 873, 1029, -1187, 1886, Happy
-1333, -416, 763, 537, -264, 2634, Happy
-1445, -852, 1020, 1110, -531, 2958, Happy
-1868, -660, 855, 810, -59, 2981, Happy
-1749, -237, 663, 701, -144, 3291, Happy
-1684, 34, 601, 872, 107, 3273, Happy
-1578, 110, 792, 1334, 187, 3453, Happy
-1476, -14, 661, 732, 229, 3742, Happy
